location,online_order,book_table,count
BTM,No,No,1740
BTM,No,Yes,52
BTM,Yes,No,3216
BTM,Yes,Yes,116
Banashankari,No,No,391
Banashankari,No,Yes,6
Banashankari,Yes,No,451
Banashankari,Yes,Yes,58
Banaswadi,No,No,321
Banaswadi,Yes,No,335
Banaswadi,Yes,Yes,8
Bannerghatta Road,No,No,687
Bannerghatta Road,No,Yes,19
Bannerghatta Road,Yes,No,844
Bannerghatta Road,Yes,Yes,80
Basavanagudi,No,No,229
Basavanagudi,No,Yes,14
Basavanagudi,Yes,No,439
Basavanagudi,Yes,Yes,2
Basaveshwara Nagar,No,No,88
Basaveshwara Nagar,No,Yes,3
Basaveshwara Nagar,Yes,No,85
Basaveshwara Nagar,Yes,Yes,15
Bellandur,No,No,494
Bellandur,No,Yes,31
Bellandur,Yes,No,694
Bellandur,Yes,Yes,67
Bommanahalli,No,No,120
Bommanahalli,No,Yes,3
Bommanahalli,Yes,No,115
Brigade Road,No,No,454
Brigade Road,No,Yes,99
Brigade Road,Yes,No,585
Brigade Road,Yes,Yes,80
Brookefield,No,No,227
Brookefield,No,Yes,14
Brookefield,Yes,No,357
Brookefield,Yes,Yes,60
CV Raman Nagar,No,No,33
CV Raman Nagar,Yes,No,57
Central Bangalore,No,No,5
Central Bangalore,Yes,No,3
Church Street,No,No,174
Church Street,No,Yes,52
Church Street,Yes,No,213
Church Street,Yes,Yes,130
City Market,No,No,98
City Market,Yes,No,26
City Market,Yes,Yes,2
Commercial Street,No,No,228
Commercial Street,Yes,No,142
Cunningham Road,No,No,127
Cunningham Road,No,Yes,41
Cunningham Road,Yes,No,189
Cunningham Road,Yes,Yes,134
Domlur,No,No,219
Domlur,No,Yes,42
Domlur,Yes,No,222
Domlur,Yes,Yes,13
East Bangalore,No,No,21
East Bangalore,Yes,No,23
Ejipura,No,No,219
Ejipura,Yes,No,220
Electronic City,No,No,631
Electronic City,No,Yes,50
Electronic City,Yes,No,528
Electronic City,Yes,Yes,49
Frazer Town,No,No,292
Frazer Town,No,Yes,3
Frazer Town,Yes,No,427
Frazer Town,Yes,Yes,5
HBR Layout,No,No,48
HBR Layout,Yes,No,99
HBR Layout,Yes,Yes,6
HSR,No,No,568
HSR,No,Yes,35
HSR,Yes,No,1738
HSR,Yes,Yes,182
Hebbal,No,No,10
Hebbal,Yes,No,4
Hennur,No,No,58
Hennur,Yes,No,95
Hennur,Yes,Yes,8
Hosur Road,No,No,43
Hosur Road,Yes,No,43
Hosur Road,Yes,Yes,16
"ITPL Main Road, Whitefield",No,No,29
"ITPL Main Road, Whitefield",No,Yes,4
