cuisine,count
North Indian,2913
"North Indian, Chinese",2385
South Indian,1828
Biryani,918
"Bakery, Desserts",911
Fast Food,803
Desserts,766
Cafe,756
"South Indian, North Indian, Chinese",726
Bakery,651
Chinese,556
"Ice Cream, Desserts",417
"Chinese, North Indian",415
"Mithai, Street Food",372
"Desserts, Ice Cream",354
"North Indian, Chinese, Biryani",352
"North Indian, South Indian",343
"South Indian, North Indian",343
"North Indian, South Indian, Chinese",305
Beverages,301
"North Indian, Biryani",285
"Biryani, Kebab",279
Finger Food,269
"Biryani, North Indian",269
"Desserts, Beverages",265
Street Food,257
"South Indian, Chinese",254
"South Indian, Biryani",248
"Beverages, Fast Food",248
"Chinese, Momos",238
"North Indian, Fast Food",237
"Cafe, Fast Food",230
"Fast Food, Beverages",225
Ice Cream,213
"North Indian, Chinese, South Indian",210
Kerala,208
"Desserts, Bakery",203
"Bakery, Fast Food",201
Continental,196
"North Indian, Mughlai",188
"South Indian, North Indian, Chinese, Street Food",186
"Cafe, Continental",173
"Fast Food, Rolls",172
Andhra,171
"Burger, Fast Food",170
"Biryani, Fast Food",168
"Chinese, Thai",167
"North Indian, Chinese, Fast Food",167
Pizza,160
Arabian,156
"North Indian, Street Food",151
"Pizza, Fast Food",149
"Biryani, North Indian, Chinese",147
"Andhra, Biryani",143
"North Indian, Continental",136
"Cafe, Desserts",136
"Kerala, South Indian",136
"Fast Food, Burger",135
"Beverages, Desserts",130
"Biryani, South Indian",127
Mithai,127
"North Indian, Chinese, Continental",126
"Chinese, Thai, Momos",111
"Cafe, Bakery",110
"Italian, Pizza",105
"South Indian, Chinese, North Indian",105
"North Indian, Mughlai, Chinese",104
"South Indian, Fast Food",104
"North Indian, Chinese, Seafood",102
"North Indian, Continental, Chinese",97
Juices,94
"Fast Food, North Indian",93
"Bengali, North Indian",93
"Beverages, Juices",90
"Chinese, North Indian, South Indian",90
"Juices, Fast Food",90
"Andhra, North Indian, Chinese",90
"Tibetan, Momos",90
"North Indian, Mughlai, Biryani",89
Bengali,89
"Cafe, Continental, Beverages",87
"Fast Food, Street Food",86
"Andhra, Biryani, North Indian, Chinese",86
"Pizza, Italian",85
"Pizza, Cafe, Italian",85
"Street Food, Fast Food",84
"Chinese, Fast Food",84
"Street Food, Mithai",83
"Cafe, Beverages",82
"Cafe, Italian",82
"Beverages, Ice Cream",81
"North Indian, Biryani, Chinese",81
"North Indian, Chinese, Mughlai",81
"Cafe, Continental, Italian",79
"Desserts, Fast Food",79
"Cafe, Continental, Italian, Burger",78
"Biryani, Chinese, North Indian",78
"Continental, Chinese",77
Healthy Food,77
Rolls,72
"Andhra, North Indian",71
"Street Food, North Indian",71
"North Indian, Chinese, Rolls",70
"Burger, Fast Food, Beverages",70
"Kerala, North Indian, Chinese",70
"North Indian, Fast Food, Street Food",70
"Andhra, Chinese, North Indian",69
"Biryani, Chinese",69
"Desserts, Cafe",68
"Continental, North Indian, Chinese",68
"Tea, Beverages, Fast Food",65
"North Indian, Biryani, Fast Food",65
"Fast Food, Chinese",65
"Continental, North Indian",65
Modern Indian,65
"South Indian, Beverages",64
"American, Continental",64
"Fast Food, Juices",64
"Biryani, North Indian, Kebab",63
"North Indian, South Indian, Chinese, Continental",63
"South Indian, Kerala",60
Italian,60
"Cafe, Healthy Food",60
"Ice Cream, Beverages",59
"South Indian, North Indian, Chinese, Beverages",59
"Fast Food, Rolls, Momos",58
"Andhra, North Indian, Biryani",57
"Cafe, Fast Food, Beverages",57
"North Indian, Mughlai, South Indian, Chinese",56
"Mithai, Desserts",55
"Cafe, Italian, Burger, American, Steak",54
"Bakery, Desserts, Beverages",53
"Continental, American",53
"South Indian, North Indian, Fast Food",52
"North Indian, Chinese, BBQ",51
"Cafe, Continental, Burger",51
"North Indian, Chinese, Arabian",51
Japanese,50
"Fast Food, Desserts",50
"Beverages, Desserts, Ice Cream",50
"Mangalorean, Seafood",49
"Chinese, Continental, North Indian",49
"Mexican, Fast Food",49
"North Indian, South Indian, Chinese, Fast Food",48
Asian,48
"Biryani, Andhra",48
"Bengali, Seafood",47
"Desserts, Ice Cream, Beverages",47
"Desserts, Beverages, Ice Cream",47
"Kerala, Seafood",47
"North Indian, Rolls",47
"Andhra, Biryani, North Indian",46
"Cafe, Tea, North Indian",46
"Finger Food, Continental",46
"Chinese, Tibetan, Momos",46
Maharashtrian,46
"Cafe, Italian, Pizza",45
"Biryani, North Indian, Mughlai",45
"Street Food, Rolls",45
"Mithai, Fast Food",44
"Mughlai, North Indian, Chinese",44
"South Indian, Street Food",44
"Bengali, North Indian, Chinese",44
"Chinese, North Indian, Fast Food",43
"Cafe, American, Burger, Steak",43
"Cafe, Continental, Fast Food",42
"Cafe, Continental, Desserts",42
"Continental, Finger Food, North Indian, Chinese",42
"Biryani, Mughlai",42
"Chinese, South Indian, North Indian",42
"North Indian, Mithai",42
"Italian, Salad",42
"Street Food, Beverages",41
"Continental, Chinese, North Indian",41
"North Indian, European, Mediterranean, BBQ, Kebab",41
"Chinese, Thai, Momos, Vietnamese",41
"North Indian, Fast Food, Beverages",41
"Cafe, Beverages, Fast Food",41
Mughlai,40
"Biryani, Andhra, North Indian, Chinese",40
"Juices, Beverages",40
"Salad, Fast Food",40
"Rajasthani, North Indian",40
"Rolls, Chinese",40
"Seafood, Mangalorean",40
"Cafe, American, Italian, Burger",39
"Bakery, Fast Food, Italian",39
"North Indian, South Indian, Chinese, Biryani",39
"North Indian, Continental, Italian",38
"Chettinad, South Indian",37
Mexican,37
"South Indian, Biryani, Chinese, North Indian",37
"Finger Food, North Indian",37
"Desserts, Ice Cream, Beverages, Sandwich",37
"Kerala, South Indian, Biryani",36
"Mexican, American, Fast Food",36
"Bakery, Desserts, Sandwich",35
"Finger Food, North Indian, Chinese",35
"Cafe, Italian, Continental",35
"Ice Cream, Bakery, Desserts",35
"Chinese, Tibetan",35
"Andhra, South Indian",34
"Mangalorean, Seafood, North Indian, Chinese",34
"Chinese, North Indian, Biryani",34
"Mexican, Italian",34
Seafood,34
"Cafe, Burger, Italian, Salad",34
"South Indian, North Indian, Chinese, Street Food, Fast Food",34
"North Indian, Thai, Japanese, Continental, Cafe",34
"Tea, Beverages",34
"North Indian, Chinese, Andhra",33
"Beverages, Sandwich",33
Rajasthani,33
"Kerala, Chinese",33
"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",33
"Cafe, Desserts, Beverages",33
"Fast Food, Tea",32
"Cafe, Italian, Desserts",32
"North Indian, Arabian, Chinese",32
"South Indian, North Indian, Chinese, Biryani",32
"Desserts, Cafe, Fast Food",31
"Healthy Food, Beverages",31
"Tibetan, Chinese, Momos",31
"Italian, Continental",31
"North Indian, Chinese, Kerala",31
"North Indian, Kebab, Fast Food",31
"South Indian, North Indian, Street Food",31
"North Indian, Kebab",30
"North Indian, South Indian, Biryani",30
"Seafood, Mangalorean, North Indian, Chinese",30
"North Indian, Chinese, Kebab",30
"Fast Food, Biryani",30
Mangalorean,30
"Bakery, Cafe, Italian, Desserts",30
"Italian, North Indian, Biryani",29
"Beverages, Juices, Ice Cream",29
"South Indian, Andhra",29
"Finger Food, Continental, Chinese",29
"Sandwich, Beverages",29
"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",29
"Continental, Steak",28
Oriya,28
"North Indian, Italian",28
"Chinese, Fast Food, Momos",28
"Kerala, South Indian, Chinese",28
"Fast Food, Sandwich",28
"Italian, Pizza, Salad",28
"Beverages, Tea",28
"American, North Indian, Chinese",28
"Seafood, Mangalorean, Chinese",28
Thai,28
"Street Food, South Indian",28
"Ice Cream, Desserts, Beverages",28
"Continental, Italian",28
"Andhra, North Indian, Chinese, Biryani",28
"Cafe, American, Continental, Italian",28
"North Indian, Mughlai, Fast Food",28
"Fast Food, Bakery",28
"Fast Food, Biryani, Rolls",28
"Mughlai, North Indian",28
"Desserts, Cafe, Beverages",27
"North Indian, South Indian, Continental",27
"North Indian, Beverages",27
"Arabian, North Indian, Chinese, Fast Food",27
"Mexican, Tex-Mex",26
"Finger Food, Continental, North Indian",26
"Cafe, Healthy Food, Salad, Beverages",26
Burger,26
"Cafe, North Indian, Fast Food",26
"Andhra, Biryani, Chinese",26
"Momos, Chinese",26
"Cafe, North Indian, Chinese, Continental",25
"Continental, Asian, North Indian",25
North Eastern,25
"North Indian, Chinese, Bengali",25
"Continental, Cafe, Desserts, Salad, Momos",25
"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",25
"Bakery, Cafe",25
"Continental, Burger, Cafe, Steak",25
"Andhra, North Indian, Chinese, Seafood",25
