name,votes,rate
#FeelTheROLL,14,3.4
#L-81 Cafe,432,3.9000000000000004
#Vibes Restro,0,
#refuel,111,3.7000000000000006
'Brahmins' Thatte Idli,0,
1 Fahreheit,0,
1000 B.C,294,3.2000000000000006
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,123,3.7000000000000006
11 to 11 Express Biriyanis,44,3.5
1131 Bar + Kitchen,16938,4.5
12th Main - Grand Mercure,3541,4.1
1441 Pizzeria,813,4.1
1522 - The Pub,41172,4.212
154 Breakfast Club,24226,4.0
1722 Urban Bistro,2443,4.1
18+ Ice Cafe,145,3.5
1947,20590,4.021428571428571
1980s Games Cafe,290,3.4
1992 Chats - Space,99,3.7000000000000006
1Q1,9615,4.3
1TO3 Kitchen,11,3.1
2 Statez,841,3.7
20 Char - Sterlings MAC Hotel,3384,4.0
20 Feet High,17782,4.0
21 C - La Marvella Sarovar Premiere Hotel,30,3.6
21 Corner Haus Cafe,0,
22S,0,
24 Carats - The Capitol,552,3.1
24 Hours Cake Delivery,16,3.3
24 Hours Coffee Drop - La Classic,18,3.4
24/7 - The Lalit Ashok Bangalore,688,4.0
24/7 Food Service,28,2.95
24@43 - The Oterra,536,4.1
24th Main,7426,4.1
29 Degrees North,1136,3.9
2nd Home Restaurant,231,3.7
3 Leafs,384,3.7000000000000006
3 Spice,1880,3.9
30 Square,6128,4.2
360 Atoms Restaurant And Cafe,91,3.1
36th Cross Coffee Mane,118,3.65
37 China Town,116,3.5
38 Sugar Lane,0,
"3B's - Buddies, Bar & Barbecues",21990,4.41875
3G's - Gulp & Groove,5304,4.1
3ice Cubes,0,
3rd Innings,51,3.0
4 Mangoes,30,3.7
4 Seasons Restaurant,1995,3.7
4 States,4,3.2
4-States,0,
46 Ounces Brewgarden,0,
4671 Indian Coastal Cuisine,0,
4700BC Popcorn,55,4.1
4Foodiez,164,3.6500000000000004
4Foodiez - The Restaurant,46,3.0
4K Biryani,4,3.3
4S Bar,0,
4th Tea Block,248,4.0
5 Degree Centigrade,0,
5 Star Food,0,
5 star food,0,
50-50 EATING HOUSE,8,3.2
52 Wall Street,5912,3.9
55 Wall Street,15977,3.9000000000000004
56 Bhoga Sweets,204,3.6
5th Main Cafe,90,3.5
7 Days Restaurant,956,3.8
7 Degrees North,22,3.5
7 Hills Andhra Mess,16,3.4
7 Hills Garden Restaurant,0,
7 Hills Restaurant,0,
7 Plates,6333,3.747826086956522
7 Shanghai,37,3.5
7 Spice,20,3.4
7 Star Biryani,135,3.2
7 to 11 Food Court,82,3.7
70 Brigade - Iris Hotel,1052,3.9
7Biryanis,4,3.2
7th Heaven,34,3.6
8 Slice,518,3.7
9 Bowls,0,
9 Tea,0,
90's,0,
90's Beer Cafe - Hotel Millennium Plaza,21,3.0
90's Cafe,0,
99 Caffe,424,3.6
99 Eat Out,0,
99 Pancakes,6248,4.293939393939394
99 Udupi Veg,0,
99 Variety Dosa & Pav Bhaji,48,3.7999999999999994
99 Variety Dosa and Pav Bhaji,404,4.0
99 Variety Dose-Biryanis-Starters,0,
99Foods,32,3.4
9D Foods,1380,4.066666666666666
9th Cross Cafe,48,3.6
@ Biryani Central,405,2.7000000000000006
@ The Bbq,64,3.8
@99,37,3.4
@Italy,691,3.8
@North Parontha Hut,0,
A 1 Pizza and Food,852,2.8
A Baker's Confession,0,
A Bar,152,3.3
A Hole Lotta Love Cafe,43043,4.3533333333333335
A La Carte Restaurant,0,
A Little For Love,12,3.4
A M Biryani Hotel,18,3.2999999999999994
A Pinch Of Magic,0,
A Southern Fair,70,3.1
A Today Thick Shakes,54,3.2000000000000006
A-1 Chicken Biriyani & Kababs,0,
A-1 Fast Food,0,
A-one Dum Biryani,0,
A.M New Punjab Food Corner,210,3.5
A1 Ambur Biryani,0,
A1 Ambur Dum Biryani And Parota Centre,4,3.2
A1 Biriyani Point,20,3.0
A1 Express,0,
A1 Garam Masala,50,3.6
A1 Hot Dum Biryani,4,3.2
A1 Spice Inn,92,3.5
A1 Tasty Lime Rice,0,
A2B - Adyar Ananda Bhavan,11644,3.392
A2B Veg - Adyar Ananda Bhavan,790,2.7714285714285714
A3 Nuwang Kitchen,420,3.7
AAR Chinese And Grill Food Truck,0,
AAlvina Restaurant,0,
AB Cafe,0,
AB's - Absolute Barbecues,86418,4.7894736842105265
ABC Grand,162,3.5
ABCD - Anybody Can Dine,0,
ABY?s Kitchen,0,
AJ Ambur Star Biriyani,0,
AKS Family Dhaba And Restaurant,121,3.6
AKSHAYA BIRYANI,104,3.6
AL - Khair,0,
AL Afreen's Biryani Paradise,0,
AL Habeeb Restaurant,0,
AL-Nabi Hotel,0,
AM Biryani Junction,0,
AM WOW,36,3.4
AM's Cafe Recreate,60,3.3285714285714283
AMBUR HOT DUM BIRYANI,0,
ANR Dum Biryani Centre,0,
ANTIGRAVITY,2207,4.4
AQNI,276,3.45
ARB Restaurant,0,
ASEAN - On The Edge,9552,4.454545454545454
ASIA SEVEN,8,3.3
AULI,0,
Aaccord Restaurant,0,
Aadhya Hotel,30,3.3
Aadhya's Fresh and Rich,0,
Aadvik Nightfood,44,3.6
Aafa Calicut Restaurant,0,
Aagaman Veg,4461,4.0
Aaha,468,3.6
Aaha Andhra,3495,3.746666666666667
Aahar,0,
Aahar Cafe,0,
Aahar Vihar,282,4.0
Aahara,0,
Aahara Vihar,26,3.5
Aaharaa,0,
Aaharam,390,4.0
Aalishan Restaurant & Caterer,9773,3.5
Aamaravathi Biryani Zone,0,
Aami Bangali,788,3.4909090909090907
Aami Kolkata,10,3.3
Aao G Khao G,22,3.5
Aapni Rasoi,508,3.2
Aaranya Restaurant,2332,3.4
Aarti Paratha & Rolls Corner,30,3.6
Aarush's Food Plaza,0,
Aarya Pork Hotel,71,3.3833333333333333
Aashirvaad Restaurant,755,3.1
Aashish Foods,209,3.25
Aasife & Brothers Biriyani Centre,1128,3.8777777777777778
Aastha Bengali Mess,131,3.9
Aata's Kitchen,32,3.3
Aathithya,160,3.1
Aathurar,2316,3.25
Abbabi Chicken,667,3.7600000000000002
Abhiruchi,803,3.3499999999999996
Abhiruchi Andhra Mess,254,3.2
Abhiruchi Hotel,8817,3.384210526315789
Abhiruchi Moonlight,16,3.3
Abhiruchi Restaurant,383,3.4875
Absolute Chinese,836,3.8
Absolute Shawarma,360,3.7999999999999994
Absolute Waffles,147,3.9
Aburrahaman,0,
Abzain Paradise,84,2.9
AcciaRolee,0,
Achayyan's,1630,3.8
Ackley Kitchen,33,3.6
Adarsh Bakery,20,3.1
Adda,40,3.3
Addhuri Udupi Bhojana,176,3.7
Adi's Cake N Cafe,8,3.3
Adiga Sweets,0,
Adiga's,111,3.5
Adithya,2172,3.5421052631578944
Adithya Family Restaurant,270,3.7
Adithya Tiffin Centre,0,
Adithya Veg,20,3.3
Aditya Delights,118,3.7
Aditya Sweets,114,3.7
Aditya Uphar,30,3.5
Adukkala Restaurant,497,3.125
Adupadi,25,2.9
Advika Briyani Center,18,3.3
Adya Hotel,8,3.3
Adyar Anand Bhavan Sweets,0,
Adyar Ananda Bhavan - Sweets,39,3.4
Adyar Ananda Bhavan Sweets,4,3.6
Affa Cafeteria,0,
Affan Kabab Centre,0,
Afghani Tandoori Hub,154,3.6818181818181817
Afoozoo - Ginger Hotel,120,3.5
Afrina's Kitchen,27,3.4
Agarwal Food Service,1131,3.65
Agent Jack's Bar,4496,4.022222222222222
Agnihotri Cuisines,0,
Agraharaa,0,
Agraharam Meal,61,3.7
Aha Juice Bar,78,3.6
Ahaan Restaurant,230,2.7999999999999994
AhimsaAmrit Green Cafe,56,3.55
Ahmad's Chicken Hut,36,3.2
Ahmed Biriyani Corner,0,
Ahmed's,0,
Ahmed's Little Hut,0,
Ahmeds Takeaway Restaurant,0,
Aioli,3138,4.2
Airlines Hotel,8694,4.0
Aisha Tharavad,0,
Aishwarya,6,3.3
