location,cuisines,approx_cost(for two people)
BTM,"American, Continental",200.0
BTM,Andhra,510.0
BTM,"Andhra, Biryani",346.15384615384613
BTM,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",600.0
BTM,"Andhra, Biryani, North Indian",600.0
BTM,"Andhra, Biryani, North Indian, Chinese",516.6666666666666
BTM,"Andhra, Chinese, Biryani",450.0
BTM,"Andhra, Chinese, North Indian",700.0
BTM,"Andhra, Chinese, North Indian, Biryani",500.0
BTM,"Andhra, North Indian",540.0
BTM,"Andhra, North Indian, Biryani",800.0
BTM,"Andhra, North Indian, Chinese",500.0
BTM,"Andhra, South Indian",70.0
BTM,"Andhra, South Indian, North Indian, Biryani",400.0
BTM,Arabian,350.90909090909093
BTM,"Arabian, Afghan",400.0
BTM,"Arabian, Asian, Chinese, Afghan",300.0
BTM,"Arabian, Chinese, Hyderabadi, Kerala",700.0
BTM,"Arabian, Chinese, North Indian, Kerala, Juices",400.0
BTM,"Arabian, Chinese, North Indian, Kerala, Seafood",550.0
BTM,"Arabian, Chinese, North Indian, Rolls, Momos",400.0
BTM,"Arabian, Middle Eastern",400.0
BTM,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",900.0
BTM,"Arabian, North Indian, Chinese",300.0
BTM,"Arabian, North Indian, Chinese, Fast Food",744.4444444444445
BTM,"Arabian, South Indian",400.0
BTM,Asian,390.0
BTM,"Asian, Chinese",500.0
BTM,"Asian, Continental, Finger Food",1500.0
BTM,"Asian, Continental, Healthy Food",400.0
BTM,Bakery,356.5217391304348
BTM,"Bakery, Desserts",363.04347826086956
BTM,"Bakery, Desserts, Beverages",450.0
BTM,"Bakery, Desserts, Sandwich",400.0
BTM,"Bakery, Fast Food",200.0
BTM,"Bakery, Fast Food, Beverages",600.0
BTM,"Bakery, Street Food",200.0
BTM,Bengali,650.0
BTM,"Bengali, Chinese, Rolls",400.0
BTM,"Bengali, North Indian",400.0
BTM,"Bengali, North Indian, Chinese",410.0
BTM,"Bengali, North Indian, Oriya",350.0
BTM,Beverages,264.367816091954
BTM,"Beverages, Burger, Fast Food",100.0
BTM,"Beverages, Desserts",200.0
BTM,"Beverages, Desserts, Ice Cream",400.0
BTM,"Beverages, Fast Food",267.56756756756755
BTM,"Beverages, Fast Food, Italian",400.0
BTM,"Beverages, Healthy Food",250.0
BTM,"Beverages, Ice Cream",166.66666666666666
BTM,"Beverages, Juices",147.05882352941177
BTM,"Beverages, Juices, Ice Cream",200.0
BTM,"Beverages, Sandwich",131.25
BTM,"Beverages, Sandwich, Chinese",300.0
BTM,"Beverages, Tea",100.0
BTM,"Bihari, Chinese",300.0
BTM,Biryani,326.6666666666667
BTM,"Biryani, Andhra",300.0
BTM,"Biryani, Andhra, Chinese",600.0
BTM,"Biryani, Chettinad, Chinese",400.0
BTM,"Biryani, Chinese, Continental, North Indian, Kerala, South Indian",700.0
BTM,"Biryani, Chinese, Fast Food, North Indian",400.0
BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab",600.0
BTM,"Biryani, Chinese, North Indian",485.29411764705884
BTM,"Biryani, Fast Food",306.06060606060606
BTM,"Biryani, Fast Food, North Indian",400.0
BTM,"Biryani, Hyderabadi",500.0
BTM,"Biryani, Hyderabadi, Chinese",500.0
BTM,"Biryani, Kebab",350.0
BTM,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400.0
BTM,"Biryani, North Indian",432.2368421052632
BTM,"Biryani, North Indian, Andhra",550.0
BTM,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",450.0
BTM,"Biryani, North Indian, Chinese",600.0
BTM,"Biryani, North Indian, Chinese, Mughlai",600.0
BTM,"Biryani, North Indian, Fast Food, Chinese",400.0
BTM,"Biryani, North Indian, Kebab",600.0
BTM,"Biryani, North Indian, Kebab, Chinese",300.0
BTM,"Biryani, North Indian, Mughlai",660.0
BTM,"Biryani, North Indian, South Indian",250.0
BTM,"Biryani, South Indian",338.46153846153845
BTM,"Biryani, South Indian, North Indian, Chinese, Andhra",600.0
BTM,Burger,300.0
BTM,"Burger, Cafe, Pizza, Beverages",200.0
BTM,"Burger, Cafe, Pizza, Fast Food",200.0
BTM,"Burger, Fast Food",425.0
BTM,"Burger, Pizza, Fast Food",1000.0
BTM,Cafe,589.7058823529412
BTM,"Cafe, American, Italian, Continental, Chinese",500.0
BTM,"Cafe, Bakery",500.0
BTM,"Cafe, Beverages",341.6666666666667
BTM,"Cafe, Burger, Beverages",650.0
BTM,"Cafe, Burger, Fast Food",400.0
BTM,"Cafe, Burger, Rolls, Beverages",400.0
BTM,"Cafe, Burger, Sandwich, Beverages",150.0
BTM,"Cafe, Chinese, Fast Food, Burger, North Indian",500.0
BTM,"Cafe, Continental, Burger",900.0
BTM,"Cafe, Continental, Fast Food",605.5555555555555
BTM,"Cafe, Continental, Pizza, Italian, Beverages",400.0
BTM,"Cafe, Fast Food",517.2413793103449
BTM,"Cafe, Fast Food, Beverages",400.0
BTM,"Cafe, Healthy Food",500.0
BTM,"Cafe, Italian, Mexican, Chinese",600.0
BTM,"Cafe, Lebanese",700.0
BTM,"Cafe, North Indian, Chinese",700.0
BTM,Chinese,431.0344827586207
BTM,"Chinese, Andhra, Mangalorean",550.0
BTM,"Chinese, Arabian, Rolls",300.0
BTM,"Chinese, Biryani",400.0
BTM,"Chinese, Continental, Fast Food, Healthy Food",300.0
BTM,"Chinese, Fast Food",300.0
BTM,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300.0
BTM,"Chinese, Fast Food, Continental",500.0
BTM,"Chinese, Hyderabadi, North Indian",400.0
BTM,"Chinese, Kerala, South Indian",250.0
BTM,"Chinese, Mangalorean",300.0
BTM,"Chinese, Momos",505.2631578947368
BTM,"Chinese, Mongolian",333.3333333333333
BTM,"Chinese, North Indian",400.6024096385542
BTM,"Chinese, North Indian, Biryani",550.0
BTM,"Chinese, North Indian, Biryani, Rolls",400.0
BTM,"Chinese, North Indian, Seafood",250.0
BTM,"Chinese, North Indian, South Indian",390.0
BTM,"Chinese, Rolls",250.0
BTM,"Chinese, Thai",850.0
BTM,"Chinese, Thai, American, Momos",200.0
BTM,"Chinese, Thai, Asian",500.0
BTM,"Chinese, Thai, Momos",400.0
BTM,"Chinese, Tibetan, Momos",300.0
BTM,Continental,500.0
BTM,"Continental, Chinese, North Indian",1200.0
BTM,"Continental, Fast Food, Italian, North Indian",200.0
BTM,"Continental, Italian, Beverages",1000.0
BTM,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700.0
BTM,"Continental, Mexican, Chinese, North Indian",800.0
BTM,"Continental, North Indian, Asian, Italian",1300.0
BTM,"Continental, North Indian, Chinese",600.0
BTM,"Continental, North Indian, South Indian",700.0
BTM,"Continental, Steak, Fast Food",1000.0
BTM,Desserts,329.6296296296296
BTM,"Desserts, Bakery, Beverages",250.0
BTM,"Desserts, Beverages",352.94117647058823
BTM,"Desserts, Beverages, Bakery, Ice Cream",300.0
BTM,"Desserts, Ice Cream",205.88235294117646
BTM,"Desserts, Street Food, Mithai",200.0
BTM,"European, Mediterranean, North Indian, BBQ",1600.0
BTM,Fast Food,310.81081081081084
BTM,"Fast Food, Beverages",304.3478260869565
BTM,"Fast Food, Beverages, Sandwich",300.0
BTM,"Fast Food, Biryani",200.0
BTM,"Fast Food, Burger",500.0
BTM,"Fast Food, Burger, Italian, Beverages",350.0
BTM,"Fast Food, Chinese",200.0
BTM,"Fast Food, Chinese, Desserts",200.0
BTM,"Fast Food, Chinese, North Indian, Biryani",450.0
BTM,"Fast Food, Desserts, Ice Cream",300.0
BTM,"Fast Food, Desserts, Rolls",200.0
BTM,"Fast Food, Italian, Pizza",300.0
BTM,"Fast Food, Juices",300.0
BTM,"Fast Food, Momos",100.0
BTM,"Fast Food, North Indian",400.0
BTM,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400.0
BTM,"Fast Food, North Indian, Rolls",250.0
BTM,"Fast Food, Rolls",207.14285714285714
BTM,"Fast Food, Rolls, Juices",300.0
BTM,"Fast Food, Rolls, Momos",231.8181818181818
BTM,"Fast Food, Sandwich",300.0
BTM,"Fast Food, Sandwich, Beverages",200.0
BTM,"Fast Food, Sandwich, Italian",450.0
BTM,"Fast Food, Seafood",400.0
BTM,Finger Food,1152.0
BTM,"Finger Food, Continental, Chinese",900.0
BTM,Healthy Food,441.6666666666667
BTM,"Healthy Food, Juices",200.0
BTM,"Healthy Food, North Indian",350.0
BTM,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0
BTM,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0
BTM,Hyderabadi,400.0
BTM,"Hyderabadi, North Indian",350.0
BTM,"Hyderabadi, North Indian, Chinese",350.0
BTM,Ice Cream,211.47058823529412
BTM,"Ice Cream, Bakery, Desserts",200.0
BTM,"Ice Cream, Beverages",181.8181818181818
BTM,"Ice Cream, Beverages, Fast Food",300.0
BTM,"Ice Cream, Desserts",403.84615384615387
BTM,"Ice Cream, Desserts, Juices",150.0
BTM,"Ice Cream, Juices, Beverages",200.0
BTM,Italian,387.5
BTM,"Italian, American, Fast Food, Wraps, Rolls, Salad",1000.0
BTM,"Italian, Continental",500.0
BTM,"Italian, Continental, Chinese, Thai, American, Arabian",300.0
BTM,"Italian, Pizza",610.0
BTM,Juices,156.52173913043478
BTM,"Juices, Beverages, Fast Food",100.0
BTM,"Juices, Beverages, Ice Cream",150.0
BTM,"Juices, Street Food",150.0
BTM,"Kebab, Biryani",300.0
BTM,"Kebab, Rolls",400.0
BTM,Kerala,274.468085106383
BTM,"Kerala, Chinese",200.0
BTM,"Kerala, Chinese, Fast Food",600.0
BTM,"Kerala, Chinese, South Indian",350.0
BTM,"Kerala, Chinese, South Indian, North Indian",663.6363636363636
BTM,"Kerala, North Indian",490.90909090909093
BTM,"Kerala, North Indian, Chinese",400.0
BTM,"Kerala, North Indian, Chinese, Hyderabadi, Arabian",400.0
BTM,"Kerala, Seafood, Chinese, Biryani, Juices",800.0
BTM,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400.0
BTM,"Kerala, South Indian",330.95238095238096
BTM,"Kerala, South Indian, Biryani",300.0
BTM,"Kerala, South Indian, Chinese",400.0
BTM,"Kerala, South Indian, Desserts",350.0
BTM,"Kerala, South Indian, Seafood, Biryani",300.0
BTM,"Kerala, Tea",250.0
BTM,Maharashtrian,200.0
BTM,"Mexican, Italian",600.0
BTM,Mithai,292.5
BTM,"Mithai, Desserts",200.0
BTM,"Mithai, Desserts, Fast Food",250.0
BTM,"Mithai, Fast Food",300.0
BTM,"Mithai, North Indian, Street Food, Chinese",400.0
BTM,"Mithai, Street Food",362.5
BTM,"Mithai, Street Food, Fast Food",200.0
BTM,"Momos, American",600.0
BTM,"Mughlai, North Indian, Chinese, Momos",600.0
BTM,North Indian,397.2560975609756
BTM,"North Indian, Arabian",400.0
BTM,"North Indian, Arabian, Chinese",856.0
BTM,"North Indian, BBQ",350.0
BTM,"North Indian, Beverages",400.0
BTM,"North Indian, Bihari",300.0
BTM,"North Indian, Biryani",410.8695652173913
BTM,"North Indian, Biryani, Andhra, Chinese",600.0
BTM,"North Indian, Biryani, Chinese",527.7777777777778
BTM,"North Indian, Biryani, Chinese, Arabian",400.0
BTM,"North Indian, Biryani, Chinese, Momos",450.0
BTM,"North Indian, Biryani, Fast Food",500.0
BTM,"North Indian, Biryani, Mughlai, Kebab",800.0
BTM,"North Indian, Cafe, Fast Food, Beverages",200.0
BTM,"North Indian, Charcoal Chicken",400.0
BTM,"North Indian, Chinese",387.8627968337731
BTM,"North Indian, Chinese, Arabian",734.375
BTM,"North Indian, Chinese, Arabian, Rolls, Juices",500.0
BTM,"North Indian, Chinese, Beverages",800.0
BTM,"North Indian, Chinese, Biryani",318.75
BTM,"North Indian, Chinese, Continental",378.57142857142856
BTM,"North Indian, Chinese, Fast Food",362.5
BTM,"North Indian, Chinese, Fast Food, Rolls",300.0
BTM,"North Indian, Chinese, Fast Food, Rolls, Beverages",600.0
BTM,"North Indian, Chinese, Kebab",350.0
BTM,"North Indian, Chinese, Kerala",600.0
BTM,"North Indian, Chinese, Rolls",250.0
BTM,"North Indian, Chinese, Rolls, Fast Food",300.0
BTM,"North Indian, Chinese, Seafood",472.22222222222223
BTM,"North Indian, Chinese, South Indian",457.14285714285717
BTM,"North Indian, Chinese, Street Food",300.0
BTM,"North Indian, Chinese, Street Food, Biryani",400.0
BTM,"North Indian, Continental, Chinese, Steak",900.0
BTM,"North Indian, Fast Food",367.6470588235294
BTM,"North Indian, Fast Food, Beverages",425.0
BTM,"North Indian, Fast Food, Biryani",250.0
BTM,"North Indian, Fast Food, Biryani, Chinese",500.0
BTM,"North Indian, Fast Food, Burger",500.0
